1,2,3,4,5,6,7,8,0
280503,2024697,16571257,12363785,15991774,9196081,9372522,12743526,2
363768,515203,14860429,16079949,15000912,14615345,13588188,15563422,2
16499342,15467738,12976310,1607931,13496709,6306537,5851919,16152752,2
15981615,15534599,13171530,16766187,13297600,5733127,6538712,14438570,2
16381101,869365,15475134,13099457,14954014,13484628,15466146,12515795,2
273797,2092211,16660759,12279182,16048644,9204461,9403371,12685580,2
382777,562083,14913360,16079744,15043529,14427957,13329584,15604895,2
16516309,15508014,13011489,1569584,13522894,6212314,5689228,16249814,2
16004045,15626175,13259665,16598995,13364108,5594231,6457466,14421440,2
16405058,896019,15492972,13146070,14981262,13138809,15130117,12501619,2
269508,2052063,16609528,12410025,16016299,9221439,9409420,12578488,2
368423,520889,14861808,16099196,15003463,14630720,13560286,15640475,2
16509792,15500205,12996672,1484569,13509781,6308078,5849302,16369872,2
16004157,15624218,13252839,16572624,13359094,5599685,6457984,14476152,2
16402240,893537,15490524,13153433,14978754,13160569,15067159,12401779,2
265328,2051479,16611423,12420927,16017207,9221072,9341737,12497488,2
368868,523087,14862419,16104605,15004130,14637027,13495680,15672455,2
16516152,15506360,12997482,1500309,13511139,6306939,5856947,16470124,2
16008742,15624324,13248365,16595532,13356157,5587718,6515956,14555360,2
16397148,896117,15493955,13119357,14979539,13159966,15174361,12216030,2
256548,2065526,16629340,12310265,16027633,9228379,9358199,12504957,2
374198,533316,14874030,16128275,15012994,14643654,13473351,15709009,2
16529625,15493776,12983337,1722801,13500490,6319539,5842678,16486839,2
16012936,15609117,13233289,16750585,13340390,5581419,6509778,14557287,2
16385103,898767,15500659,13055320,14979056,13166813,15252882,12322041,2
241980,2076216,16644349,12269953,16035786,9236001,9428091,12560544,2
375968,533348,14872989,16100365,15011415,14670807,13575069,15742445,2
16544150,15495024,12980040,1603063,13497710,6321168,5865128,16549836,2
16024327,15612049,13231724,16661304,13339292,5553970,6438866,14577669,2
16380844,902895,15504135,13084848,14981640,13130318,15110072,12292050,2
